Halb,engine_type,map_model,Vehicle_Type,Month,total_demand
80601107,MDE5_EU3_DSL,Pro 6016-PREMIUM,HD,01/03/2025,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/04/2023,5
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/05/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/06/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/07/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/08/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/09/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/10/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/11/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/12/2023,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/01/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/02/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/03/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/04/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/05/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/06/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/07/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/08/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/09/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/10/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/11/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/12/2024,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/01/2025,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/02/2025,0
80601231,E683_BS2_DSL,20.15-LPO,Bus,01/03/2025,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/04/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/05/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/06/2023,5
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/07/2023,2
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/08/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/09/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/10/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/11/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/12/2023,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/01/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/02/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/03/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/04/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/05/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/06/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/07/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/08/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/09/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/10/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/11/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/12/2024,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/01/2025,0
80601588,MDE5_EU3_DSL,Pro6018 LHD,HD,01/02/2025,0
