Halb,Engine,Model,Vehicle_Type,Forecast_Model,Month,Actual_Demand,Forecast_Demand,Difference
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,ARIMA,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,ARIMA,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,ARIMA,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,SARIMA,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,SARIMA,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60G P/stg with MRF tyres,Bus,SARIMA,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Moving Average,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Moving Average,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Moving Average,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SES,2025-01-01,0,0.42576103117999636,-0.42576103117999636
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SES,2025-02-01,0,0.42576103117999636,-0.42576103117999636
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SES,2025-03-01,0,0.42576103117999636,-0.42576103117999636
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt,2025-01-01,0,0.42576088189616623,-0.42576088189616623
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt,2025-02-01,0,0.42576088189616623,-0.42576088189616623
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt,2025-03-01,0,0.42576088189616623,-0.42576088189616623
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt Winters,2025-01-01,0,1.1666668404423144,-1.1666668404423144
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt Winters,2025-02-01,0,1.186147374803364,-1.186147374803364
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt Winters,2025-03-01,0,1.2056279091644133,-1.2056279091644133
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,ARIMA,2025-01-01,0,0.99322896133529,-0.99322896133529
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,ARIMA,2025-02-01,0,0.9543419897621749,-0.9543419897621749
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,ARIMA,2025-03-01,0,0.9558644952639227,-0.9558644952639227
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SARIMA,2025-01-01,0,1.3432476464212117e-15,-1.3432476464212117e-15
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SARIMA,2025-02-01,0,15.000000000000002,-15.000000000000002
80251918,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SARIMA,2025-03-01,0,-2.4240727216426797e-26,2.4240727216426797e-26
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Moving Average,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Moving Average,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Moving Average,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SES,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SES,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SES,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt Winters,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt Winters,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt Winters,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,ARIMA,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,ARIMA,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,ARIMA,2025-03-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SARIMA,2025-01-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SARIMA,2025-02-01,0,0.0,0.0
80251918,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SARIMA,2025-03-01,0,0.0,0.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Moving Average,2025-01-01,0,15.0,-15.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Moving Average,2025-02-01,35,15.0,20.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Moving Average,2025-03-01,46,15.0,31.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,SES,2025-01-01,0,8.372370664631656,-8.372370664631656
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,SES,2025-02-01,35,8.372370664631656,26.627629335368344
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,SES,2025-03-01,46,8.372370664631656,37.62762933536834
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Holt,2025-01-01,0,8.788725851468373,-8.788725851468373
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Holt,2025-02-01,35,8.925518996993437,26.07448100300656
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Holt,2025-03-01,46,9.062312142518504,36.93768785748149
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Holt Winters,2025-01-01,0,8.995234904932413,-8.995234904932413
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Holt Winters,2025-02-01,35,9.077052668499848,25.922947331500154
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,Holt Winters,2025-03-01,46,9.15887043206728,36.84112956793272
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,ARIMA,2025-01-01,0,8.503342261730543,-8.503342261730543
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,ARIMA,2025-02-01,35,8.115197260975831,26.884802739024167
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,ARIMA,2025-03-01,46,8.10209288359584,37.897907116404156
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,SARIMA,2025-01-01,0,-7.616510168014379,7.616510168014379
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,SARIMA,2025-02-01,35,33.48786389335248,1.5121361066475174
80401979,E483_BS3_DSL,10.90-Modular-P/stg,Bus,SARIMA,2025-03-01,46,-7.490810619865539,53.49081061986554
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Moving Average,2025-01-01,0,0.0,0.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Moving Average,2025-02-01,0,0.0,0.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Moving Average,2025-03-01,0,0.0,0.0
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,SES,2025-01-01,0,7.450580041812332e-08,-7.450580041812332e-08
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,SES,2025-02-01,0,7.450580041812332e-08,-7.450580041812332e-08
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,SES,2025-03-01,0,7.450580041812332e-08,-7.450580041812332e-08
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Holt,2025-01-01,0,7.450580055074184e-08,-7.450580055074184e-08
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Holt,2025-02-01,0,7.450580057284494e-08,-7.450580057284494e-08
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Holt,2025-03-01,0,7.450580059494802e-08,-7.450580059494802e-08
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Holt Winters,2025-01-01,0,0.5952379701175602,-0.5952379701175602
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Holt Winters,2025-02-01,0,0.6277054850358088,-0.6277054850358088
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,Holt Winters,2025-03-01,0,0.6601729999540573,-0.6601729999540573
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,ARIMA,2025-01-01,0,0.2393759092814301,-0.2393759092814301
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,ARIMA,2025-02-01,0,0.23823579859799798,-0.23823579859799798
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,ARIMA,2025-03-01,0,0.23824122877004153,-0.23824122877004153
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,SARIMA,2025-01-01,0,0.5750919172101545,-0.5750919172101545
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,SARIMA,2025-02-01,0,0.558545984332744,-0.558545984332744
80401979,E483_BS3_DSL,10.90-Modular-P/stg,LMD,SARIMA,2025-03-01,0,0.5588399379522374,-0.5588399379522374
80600311,E694_BS4_DSL,20.15 cowl,Bus,Moving Average,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Moving Average,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Moving Average,2025-03-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,SES,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,SES,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,SES,2025-03-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Holt,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Holt,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Holt,2025-03-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Holt Winters,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Holt Winters,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,Holt Winters,2025-03-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,ARIMA,2025-01-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,ARIMA,2025-02-01,0,0.0,0.0
80600311,E694_BS4_DSL,20.15 cowl,Bus,ARIMA,2025-03-01,0,0.0,0.0
